Total time = 0:03:15.519674 | Calculation time= 0:00:05.450007 | For n_clusters = 55 | silhouette score is 0.7179679422369266)
Total time = 0:03:21.343350 | Calculation time= 0:00:05.426642 | For n_clusters = 56 | silhouette score is 0.6742139150887626)
Total time = 0:03:27.453525 | Calculation time= 0:00:05.718248 | For n_clusters = 57 | silhouette score is 0.7183833872312859)
Total time = 0:03:33.401520 | Calculation time= 0:00:05.558715 | For n_clusters = 58 | silhouette score is 0.6019466463425166)
Total time = 0:03:39.658669 | Calculation time= 0:00:05.861616 | For n_clusters = 59 | silhouette score is 0.7164241367629584)
Total time = 0:03:46.047058 | Calculation time= 0:00:05.952121 | For n_clusters = 60 | silhouette score is 0.6720588503976908)
Total time = 0:03:52.850251 | Calculation time= 0:00:06.369966 | For n_clusters = 61 | silhouette score is 0.650728546077775)
Total time = 0:03:59.949030 | Calculation time= 0:00:06.521114 | For n_clusters = 62 | silhouette score is 0.6843215112500656)
Total time = 0:04:06.565927 | Calculation time= 0:00:06.149107 | For n_clusters = 63 | silhouette score is 0.7079088027165764)
Total time = 0:04:13.490282 | Calculation time= 0:00:06.535258 | For n_clusters = 64 | silhouette score is 0.7150976627671287)
Total time = 0:04:20.582355 | Calculation time= 0:00:06.659979 | For n_clusters = 65 | silhouette score is 0.7192659570078486)
Total time = 0:04:27.634905 | Calculation time= 0:00:06.645197 | For n_clusters = 66 | silhouette score is 0.6941204035076647)
Total time = 0:04:34.411774 | Calculation time= 0:00:06.338006 | For n_clusters = 67 | silhouette score is 0.693718271801207)
Total time = 0:04:42.629043 | Calculation time= 0:00:07.824001 | For n_clusters = 68 | silhouette score is 0.6533705950954708)
Total time = 0:04:49.974760 | Calculation time= 0:00:06.868375 | For n_clusters = 69 | silhouette score is 0.6992233052187747)
Total time = 0:04:57.333336 | Calculation time= 0:00:06.953951 | For n_clusters = 70 | silhouette score is 0.6919001603540741)
Total time = 0:05:05.311137 | Calculation time= 0:00:07.403033 | For n_clusters = 71 | silhouette score is 0.6372669382558958)
Total time = 0:05:12.891984 | Calculation time= 0:00:07.178725 | For n_clusters = 72 | silhouette score is 0.6284569915675461)
Total time = 0:05:20.667223 | Calculation time= 0:00:07.354030 | For n_clusters = 73 | silhouette score is 0.6749759244287963)
Total time = 0:05:27.919040 | Calculation time= 0:00:06.862882 | For n_clusters = 74 | silhouette score is 0.6700472905644098)
Total time = 0:05:35.183525 | Calculation time= 0:00:06.879826 | For n_clusters = 75 | silhouette score is 0.6196793589885629)
Total time = 0:05:42.513757 | Calculation time= 0:00:06.941835 | For n_clusters = 76 | silhouette score is 0.671178038702404)
Total time = 0:05:50.049754 | Calculation time= 0:00:07.126715 | For n_clusters = 77 | silhouette score is 0.6734535103343446)
Total time = 0:05:58.987997 | Calculation time= 0:00:08.528178 | For n_clusters = 78 | silhouette score is 0.685526163831761)
Total time = 0:06:06.966769 | Calculation time= 0:00:07.436310 | For n_clusters = 79 | silhouette score is 0.6428386179305126)
Total time = 0:06:15.033633 | Calculation time= 0:00:07.662798 | For n_clusters = 80 | silhouette score is 0.6568994016403337)
Total time = 0:06:23.439023 | Calculation time= 0:00:07.968612 | For n_clusters = 81 | silhouette score is 0.6929605268762733)
Total time = 0:06:31.951357 | Calculation time= 0:00:08.075847 | For n_clusters = 82 | silhouette score is 0.5640091435797068)
Total time = 0:06:41.704238 | Calculation time= 0:00:09.327164 | For n_clusters = 83 | silhouette score is 0.6708948899647558)
Total time = 0:06:50.072065 | Calculation time= 0:00:07.930354 | For n_clusters = 84 | silhouette score is 0.6533522514609771)
Total time = 0:06:58.894792 | Calculation time= 0:00:08.397858 | For n_clusters = 85 | silhouette score is 0.6572856376595871)
Total time = 0:07:07.958415 | Calculation time= 0:00:08.507861 | For n_clusters = 86 | silhouette score is 0.6821865681778501)
Total time = 0:07:17.592405 | Calculation time= 0:00:08.963131 | For n_clusters = 87 | silhouette score is 0.684521772689901)
Total time = 0:07:27.988519 | Calculation time= 0:00:09.802756 | For n_clusters = 88 | silhouette score is 0.6406413361498463)
Total time = 0:07:36.404952 | Calculation time= 0:00:08.005532 | For n_clusters = 89 | silhouette score is 0.6144718888012429)
Total time = 0:07:44.819128 | Calculation time= 0:00:08.036131 | For n_clusters = 90 | silhouette score is 0.6748561207173999)
Total time = 0:07:53.322056 | Calculation time= 0:00:08.106995 | For n_clusters = 91 | silhouette score is 0.6455794039335911)
Total time = 0:08:02.095228 | Calculation time= 0:00:08.371248 | For n_clusters = 92 | silhouette score is 0.6373133237453672)
Total time = 0:08:10.905767 | Calculation time= 0:00:08.412784 | For n_clusters = 93 | silhouette score is 0.6536461931751122)
Total time = 0:08:19.984380 | Calculation time= 0:00:08.648567 | For n_clusters = 94 | silhouette score is 0.616517044578077)
Total time = 0:08:28.948132 | Calculation time= 0:00:08.577686 | For n_clusters = 95 | silhouette score is 0.6553263879854959)
Total time = 0:08:37.830037 | Calculation time= 0:00:08.494449 | For n_clusters = 96 | silhouette score is 0.6626979298446862)
Total time = 0:08:46.938957 | Calculation time= 0:00:08.717007 | For n_clusters = 97 | silhouette score is 0.6512593403630823)
Total time = 0:08:55.981698 | Calculation time= 0:00:08.665124 | For n_clusters = 98 | silhouette score is 0.6333323471126588)
Total time = 0:09:05.341531 | Calculation time= 0:00:08.970374 | For n_clusters = 99 | silhouette score is 0.6600233273406632)
Total time = 0:09:14.637300 | Calculation time= 0:00:08.897684 | For n_clusters = 100 | silhouette score is 0.6544412866824009)
Total time = 0:09:24.261687 | Calculation time= 0:00:09.183627 | For n_clusters = 101 | silhouette score is 0.6280913862214829)

