C17115314;SC1;1
C17115770;SC1;1
C17008070;SC1;1
C16803628;SC1;1
C16828548;SC1;1
C17129456;SC1;1
C17116392;SC1;1
C17113404;SC1;1
C16802170;SC1;1
C16825022;SC1;1
C17114822;SC1;1
C16801234;SC1;1
C17115214;SC1;1
C17136700;SC1;1
C17123110;SC1;1
C16802542;SC1;1
C17026320;SC1;1
C17019340;SC1;1
C17115190;SC1;1
C16836202;SC1;1
C17116196;SC1;1
C17130514;SC1;1
C16845502;SC2;1
C17135060;SC2;1
C17138984;0;1
C16708422;SC2;1
C16848736;SC2;1
C16823418;SC3;1
C17017394;SC2;1
C17136130;SC1;1
C17132926;SC2;1
C16806084;SC6;1
C17138334;SC1;1
C17134042;SC1;1
C17130886;SC2;1
C16804518;SC2;1
C16803782;SC6;1
C16811026;SC2;1
C16809448;SC6;1
C17136318;SC2;1
C17137650;SC1;1
C17068852;SC2;1
C16802034;SC4;1
C17131634;SC1;1
C17125410;SC1;1
C16849130;SC6;1
C17117388;SC1;1
C16809734;SC1;1
C17026822;SC2;1
C17136248;SC2;1
C16803138;SC2;1
C16849246;SC1;1
C17000396;SC2;1
C16814406;SC2;1
C16802882;SC6;1
C17137066;SC3;1
C16812900;SC2;1
C16832630;SC2;1
C16760522;SC2;1
C16800994;SC2;1
C17136870;SC2;1
C16826958;SC2;1
C16816242;SC5;1
C16804116;SC2;1
C17023778;SC2;1
C16838302;SC2;1
C17079442;SC1;1
C16735982;SC1;1
C16736364;SC2;1
C16711472;SC2;1
C17003888;SC2;1
C16742328;SC2;1
C17026164;SC2;1
C16802304;SC1;1
C17117156;SC2;1
C16825630;SC2;1
C17100972;SC3;1
C16729340;SC2;1
C17139782;0;1
C17026432;SC2;1
C16803304;SC3;1
C17025014;SC1;1
C17001172;SC2;1
C17133040;SC3;1
C16728360;SC2;1
C16737032;SC2;1
C17138962;SC2;1
C16802168;SC2;1
C16737264;SC2;1
C16800228;SC2;1
C17134978;SC2;1
C17122712;SC2;1
C16815862;SC2;1
C17108770;SC2;1
C17137118;SC2;1
C17005572;SC2;1
C16737458;SC2;1
C17139206;SC6;1
C16844756;SC2;1
C17023020;SC2;1
C17120500;SC2;1
C17134352;SC2;1
C17114640;SC2;1
C16836798;SC2;1
C17107846;SC2;1
C17025756;SC2;1
C16805506;SC2;1
C17139276;0;1
C16837908;SC2;1
C16809670;SC1;1
C16828770;SC2;1
C16708764;SC2;1
C16740868;SC2;1
C16803234;SC4;1
C16807022;SC2;1
C16815322;SC2;1
C16713716;SC2;1
C17137278;SC2;1
C17010854;SC2;1
C17022702;SC2;1
C16839188;SC2;1
C16707182;SC2;1
C16819976;SC2;1
C17069716;SC2;1
C16808254;SC2;1
C16816418;SC3;1
C16741444;SC2;1
C17118626;SC3;1
C17137700;SC3;1
C16732140;SC2;1
C17131074;SC1;1
C16838194;SC2;1
C17135312;SC6;1
C17025832;SC2;1
C17039682;SC2;1
C16742176;SC2;1
C16805260;SC2;1
C16815506;SC2;1
C17138378;SC6;1
C17026364;SC6;1
C17031804;SC1;1
C16801942;SC2;1
C16706882;SC2;1
C17117406;SC3;1
C16760548;SC2;1
C17122092;SC2;1
C17127266;SC4;1
C17127140;SC1;1
C16812246;SC2;1
C16724106;SC2;1
C17124124;SC6;1
C16761076;SC2;1
C17138326;SC1;1
C17132216;SC3;1
C16800052;SC2;1
C16800374;SC2;1
C16849792;SC2;1
C16803752;SC2;1
C17130608;SC2;1
C17123646;SC2;1
C16808950;SC2;1
C16838616;SC2;1
