A00001;37
A00002;37
A00003;37
A00004;37
A00005;37
A00006;37
A00007;37
A00008;37
A00009;37
A00010;37
A00011;37
A00012;37
A00013;37
A00014;37
A00015;37
A00016;37
A00017;37
A00018;37
A00019;37
A00020;37
A00021;37
A00022;37
A00023;37
A00024;37
A00025;37
A00026;37
A00027;37
A00028;37
A00029;37
A00030;37
A00031;37
A00032;37
A00033;37
A00034;37
A00035;37
A00036;37
A00037;37
A00038;37
A00039;37
A00040;37
A00041;37
A00042;37
A00043;37
A00044;37
A00045;37
A00046;37
A00047;37
A00048;37
A00049;37
A00050;37
A00051;37
A00052;37
A00053;37
A00054;37
A00055;37
A00056;37
A00057;37
A00058;37
A00059;37
A00060;37
A00061;37
A00062;37
A00063;37
A00064;37
A00065;37
A00066;37
A00067;37
A00068;37
A00069;37
A00070;37
A00071;37
A00072;37
A00073;37
A00074;37
A00075;37
A00076;37
A00077;37
A00078;37
A00079;37
A00080;37
A00081;37
A00082;37
A00083;37
A00084;37
A00085;37
A00086;37
A00087;37
A00088;37
A00089;37
A00090;37
A00091;37
A00092;37
A00093;37
A00094;37
A00095;37
A00096;37
A00097;37
A00098;37
A00099;37
A00100;37
A00101;37
A00102;37
A00103;37
A00104;37
A00105;37
A00106;37
A00107;37
A00108;37
A00109;37
A00110;37
A00111;37
A00112;37
A00113;37
A00114;37
A00115;37
A00116;37
A00117;37
A00118;37
A00119;37
A00120;37
A00121;37
A00122;37
A00123;37
A00124;37
A00125;37
A00126;37
A00127;37
A00128;37
A00129;37
A00130;37
A00131;37
A00132;37
A00133;37
A00134;37
A00135;37
A00136;37
A00137;37
A00138;37
A00139;37
A00140;37
A00141;37
A00142;37
A00143;37
A00144;37
A00145;37
A00146;37
A00147;37
A00148;37
A00149;37
A00150;37
A00151;37
A00152;37
A00153;37
A00154;37
A00155;37
A00156;37
A00157;37
A00158;37
A00159;37
A00160;37
A00161;37
A00162;37
A00163;37
A00164;37
A00165;37
A00166;37
A00167;37
A00168;37
A00169;37
A00170;37
A00171;37
A00172;37
A00173;37
A00174;37
A00175;37
A00176;37
A00177;37
A00178;37
A00179;37
A00180;37
A00181;37
A00182;48
A00183;37
A00184;46
A00185;37
A00186;37
A00187;37
A00188;37
A00189;37
A00190;37
A00191;37
A00192;37
A00193;37
A00194;37
A00195;37
A00196;37
A00197;37
A00198;37
A00199;37
A00200;37
A00201;37
A00202;37
A00203;37
A00204;37
A00205;37
A00206;37
A00207;37
A00208;37
A00209;37
A00210;37
A00211;37
A00212;37
A00213;37
A00214;37
A00215;37
A00216;37
A00217;37
A00218;37
A00219;37
A00220;37
A00221;37
A00222;37
A00223;37
A00224;37
A00225;37
A00226;37
A00227;37
A00228;37
A00229;37
A00230;37
A00231;37
A00232;37
A00233;37
A00234;37
A00235;37
A00236;37
A00237;37
A00238;37
A00239;37
A00240;37
A00241;37
A00242;37
A00243;37
A00244;37
A00245;37
A00246;37
A00247;37
A00248;37
A00249;37
A00250;37
A00251;37
A00252;37
A00253;37
A00254;37
A00255;37
A00256;37
A00257;37
A00258;37
A00259;37
